Acquired on 3/23/2026 at 20:45:11
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59565377E+000	2.78384972E+000	-1.08830017E+002	-1.31219931E+001	4.91547823E-001	
2.59567308E+000	2.78484845E+000	-1.08846550E+002	-1.29743910E+001	5.01292765E-001	
2.59569216E+000	2.78584743E+000	-1.10738571E+002	-1.29641590E+001	4.83423978E-001	
2.59571147E+000	2.78684616E+000	-1.12100235E+002	-1.30326872E+001	5.26435673E-001	
2.59573054E+000	2.78784513E+000	-1.10836220E+002	-1.31632357E+001	5.51184297E-001	
2.59574986E+000	2.78884387E+000	-1.11728508E+002	-1.30571852E+001	5.55833220E-001	
2.59576893E+000	2.78984284E+000	-1.09931114E+002	-1.29650898E+001	5.74704468E-001	
2.59578824E+000	2.79084158E+000	-1.07308121E+002	-1.31902122E+001	5.71997106E-001	
2.59580755E+000	2.79184031E+000	-1.07472061E+002	-1.31933146E+001	5.90028167E-001	
2.59582663E+000	2.79283929E+000	-1.07787941E+002	-1.31480408E+001	5.88741004E-001	
2.59584594E+000	2.79383802E+000	-1.07598534E+002	-1.31378078E+001	5.82778394E-001	
2.59586501E+000	2.79483700E+000	-1.07597191E+002	-1.27517490E+001	5.56476712E-001	
2.59588432E+000	2.79583573E+000	-1.10082329E+002	-1.28233786E+001	5.33925593E-001	
2.59590340E+000	2.79683471E+000	-1.07479820E+002	-1.29809036E+001	5.24551868E-001	
2.59592271E+000	2.79783344E+000	-1.07179146E+002	-1.29576473E+001	5.34753203E-001	
2.59594202E+000	2.79883242E+000	-1.06987312E+002	-1.32128496E+001	5.28997779E-001	
2.59596109E+000	2.79983115E+000	-1.07364433E+002	-1.29114437E+001	5.65326750E-001	
2.59598041E+000	2.80083013E+000	-1.07282112E+002	-1.29573364E+001	5.91489255E-001	
2.59599948E+000	2.80182886E+000	-1.08683281E+002	-1.28568687E+001	6.14877880E-001	
2.59601879E+000	2.80282784E+000	-1.08033302E+002	-1.28106642E+001	6.05379999E-001	
2.59603786E+000	2.80382657E+000	-1.07143524E+002	-1.26760874E+001	5.70875168E-001	
2.59605718E+000	2.80482531E+000	-1.06322090E+002	-1.27666330E+001	6.06778681E-001	
2.59607649E+000	2.80582428E+000	-1.06198975E+002	-1.28671017E+001	6.13085568E-001	
2.59609556E+000	2.80682302E+000	-1.05823402E+002	-1.27870979E+001	6.12672448E-001	
2.59611487E+000	2.80782199E+000	-1.06004250E+002	-1.27362432E+001	5.69066346E-001	
2.59613395E+000	2.80882072E+000	-1.06401794E+002	-1.26804276E+001	5.77927887E-001	
2.59615326E+000	2.80981970E+000	-1.07924835E+002	-1.26888008E+001	5.77008009E-001	
2.59617233E+000	2.81081843E+000	-1.08000000E+002	-1.28655510E+001	5.76432467E-001	
2.59619164E+000	2.81181741E+000	-1.09333221E+002	-1.27867889E+001	5.82160473E-001	
2.59621096E+000	2.81281614E+000	-1.08174324E+002	-1.28760939E+001	5.74132979E-001	
2.59623003E+000	2.81381512E+000	-1.09257416E+002	-1.29774933E+001	5.39962411E-001	
2.59624934E+000	2.81481385E+000	-1.09403610E+002	-1.31774998E+001	5.84055841E-001	
2.59626842E+000	2.81581259E+000	-1.09964714E+002	-1.27511282E+001	5.36620080E-001	
2.59628773E+000	2.81681156E+000	-1.09732956E+002	-1.25179415E+001	5.47814667E-001	
2.59630680E+000	2.81781030E+000	-1.14394684E+002	-1.22906475E+001	5.65242887E-001	
