target,mae,rmse,r2,max_abs,n_samples,model,T_holdout,RH_holdout
RH,11.353333333333333,11.355028254771833,0.0,11.783333333333335,20,random_forest,55,20
T,1.2983333333333338,1.3351446030715597,0.0,1.7000000000000028,20,random_forest,55,30
RH,10.723888888888888,10.72523820564845,0.0,10.93888888888889,20,random_forest,55,30
T,3.087499999999998,3.1004004619873458,0.0,3.677777777777777,20,random_forest,55,40
RH,9.52111111111111,9.533050209471064,0.0,10.100000000000001,20,random_forest,55,40
T,0.5599999999999998,0.6012024987010987,0.0,1.2000000000000028,20,random_forest,55,50
RH,8.816666666666666,9.14880684388225,0.0,10.133333333333333,20,random_forest,55,50
T,0.173333333333332,0.17384539747206948,0.0,0.20000000000000284,20,random_forest,55,60
RH,9.43833333333333,9.439194292358264,0.0,9.700000000000003,20,random_forest,55,60
T,0.5809444444444438,0.5846090283680043,0.0,0.7844444444444463,20,random_forest,55,70
RH,4.295000000000003,4.340100485267851,0.0,5.0,20,random_forest,55,70
T,1.1377777777777762,1.1399791529391226,0.0,1.2000000000000028,20,random_forest,55,80
RH,9.982777777777779,9.982881953562579,0.0,10.0,20,random_forest,55,80
T,1.2233333333333314,1.2295437274768932,0.0,1.43333333333333,20,random_forest,65,20
RH,9.385,9.38602684845936,0.0,9.600000000000001,20,random_forest,65,20
T,0.2316666666666663,0.4304390523381653,0.0,1.4000000000000057,20,random_forest,65,30
RH,7.133333333333333,7.156630569696266,0.0,9.5,20,random_forest,65,30
T,3.4216666666666677,3.694507935962365,0.0,4.733333333333334,20,random_forest,65,40
RH,3.8913888888888892,4.791021856775313,0.0,11.116666666666667,20,random_forest,65,40
T,9.7,9.700000000000005,0.0,9.700000000000003,20,random_forest,65,50
RH,9.466666666666669,9.466666666666669,0.0,9.466666666666669,20,random_forest,65,50
T,1.0051388888888866,1.0217052210114088,0.0,1.1666666666666714,20,random_forest,65,60
RH,9.663333333333334,9.670292423476944,0.0,10.06666666666667,20,random_forest,65,60
T,1.1663888888888934,1.1664450847778818,0.0,1.2000000000000028,20,random_forest,65,70
RH,9.651666666666664,9.651945687557276,0.0,9.700000000000003,20,random_forest,65,70
T,0.7666666666666657,0.7666666666666656,0.0,0.7666666666666657,20,random_forest,65,80
RH,10.0,10.0,0.0,10.0,20,random_forest,65,80
T,0.5654166666666655,0.5697008230446717,0.0,0.7999999999999972,20,random_forest,75,20
RH,9.983333333333334,9.983391763880205,0.0,10.066666666666666,20,random_forest,75,20
T,4.179999999999999,4.182592895959793,0.0,4.533333333333331,20,random_forest,75,30
RH,6.777222222222221,6.777324210688914,0.0,6.916666666666664,20,random_forest,75,30
T,0.2999999999999979,0.30876096471758196,0.0,0.5999999999999943,20,random_forest,75,40
RH,10.0,10.0,0.0,10.0,20,random_forest,75,40
T,0.5899999999999984,0.5914201364324487,0.0,0.6666666666666714,20,random_forest,75,50
RH,7.683333333333332,7.683416485450263,0.0,7.733333333333334,20,random_forest,75,50
T,0.4000000000000057,0.4000000000000057,0.0,0.4000000000000057,20,random_forest,75,60
RH,10.0,10.0,0.0,10.0,20,random_forest,75,60
T,0.7999999999999972,0.7999999999999972,0.0,0.7999999999999972,20,random_forest,75,70
