T,RH,target,mae,rmse,max_abs,n_samples,model
65,20,RH,2.561056400391338,2.5821420742786354,3.02385638317811,3,ridge
65,20,T,0.0725817320017607,0.07408207711838358,0.08956097891621084,3,ridge
65,30,RH,1.321157033714935,1.695043824922467,2.635181928414788,3,ridge
65,30,T,0.04424050082232611,0.05173546591402654,0.06716800485509111,3,ridge
65,40,RH,0.29281732026180646,0.3248193118287368,0.48755431594567966,3,ridge
65,40,T,0.05707359973771986,0.06654987370535347,0.10110849067370964,3,ridge
65,50,RH,0.3030830728456924,0.3333886615655027,0.49855820034024134,3,ridge
65,50,T,0.08419794297270282,0.09989135824498087,0.13234958279034004,3,ridge
65,60,RH,0.45781631740036727,0.6088042626182678,0.9844799086325509,3,ridge
65,60,T,0.05075048233376359,0.054447752815354244,0.07844187628751342,3,ridge
65,70,RH,1.5349656760129733,1.5913262209344599,2.123765392733688,3,ridge
65,70,T,0.11071987860253311,0.15583769098239575,0.26498006272360897,3,ridge
65,80,RH,1.0545865463283615,1.1564690939915507,1.44892598111187,3,ridge
65,80,T,0.12245863332345171,0.1516733624672472,0.24675595117277282,3,ridge
75,20,RH,0.2616032643204574,0.2786001647037323,0.37710669716507184,3,ridge
75,20,T,0.1580053756798776,0.17042179199689786,0.2463112778400358,3,ridge
75,30,RH,0.48377737435612644,0.5545565088288334,0.726917293921673,3,ridge
75,30,T,0.04488172025422443,0.054377245431339025,0.08776600603448514,3,ridge
75,40,RH,0.5732651267538031,0.6588941704112412,1.0025284585903194,3,ridge
75,40,T,0.11819847401150223,0.12035389826603674,0.13956762126568378,3,ridge
75,50,RH,1.109209269266491,1.4820586044542465,2.45703238803965,3,ridge
75,50,T,0.1892105088763003,0.21960337128570018,0.2729835296462966,3,ridge
75,60,RH,0.8208337948354772,0.9668283785603589,1.383158087005107,3,ridge
75,60,T,0.18494451601201453,0.1959807311529073,0.2755217658208977,3,ridge
75,70,RH,1.4388150192705307,1.63995496914383,2.0985470685674272,3,ridge
75,70,T,0.14552672639168898,0.21233407941847163,0.3641928354125099,3,ridge
75,80,RH,0.855098471155974,1.087311072152825,1.7999933629048144,3,ridge
75,80,T,0.14576103006558583,0.1511602298032659,0.20017008716463636,3,ridge
35,20,RH,5.0886350067201205,5.120697827835124,5.5465555116233105,3,lasso
35,20,T,0.11344010974791274,0.12943856525720088,0.17346867433177238,3,lasso
35,30,RH,3.1599858560983107,3.1795290268279226,3.5766351419356965,3,lasso
35,30,T,0.3317603302342036,0.3338119480782156,0.3829385502426703,3,lasso
35,40,RH,3.037937057457782,3.0551237764469437,3.4599126917031384,3,lasso
35,40,T,0.08366868770530307,0.11672796520297951,0.19417711776766566,3,lasso
35,50,RH,0.7865626336575767,0.7955361239310043,0.9548496919065741,3,lasso
35,50,T,0.03230479255653762,0.03767416743277249,0.04693090629768193,3,lasso
35,60,RH,1.0218936782047052,1.2971708410256022,1.9897635178810802,3,lasso
35,60,T,0.1442189119422134,0.19083818650277642,0.3174045898017184,3,lasso
35,70,RH,1.3072176350225913,1.327548602725161,1.6323056730679895,3,lasso
35,70,T,0.14555460175273538,0.14719929164715245,0.17557289403656995,3,lasso
35,80,RH,1.3713749736973853,1.7627627494521512,2.7893567464894318,3,lasso
35,80,T,0.13784158846659267,0.14507993709012837,0.1777155675841584,3,lasso
45,20,RH,2.0897589226430298,2.0998342874419906,2.3370944668872298,3,lasso
45,20,T,0.019061544716308276,0.0230554526721133,0.035901118828604694,3,lasso
45,30,RH,1.364272078460586,1.3746832221704377,1.599262197027432,3,lasso
45,30,T,0.1629365733159934,0.17387040694439054,0.24854519863718139,3,lasso
45,40,RH,3.2312003611732862,3.255838855038381,3.678185636705045,3,lasso
45,40,T,0.09971756277882567,0.1158787817942308,0.17277882141481626,3,lasso
45,50,RH,1.4230333345380686,1.4307259010626177,1.5644264978085474,3,lasso
45,50,T,0.14135388324722933,0.1423456690027439,0.163783350180573,3,lasso
45,60,RH,0.6369643713908081,0.6431565822015566,0.7337937719222438,3,lasso
45,60,T,0.19282312369628585,0.19787108549007484,0.23477094005757948,3,lasso
45,70,RH,0.825680386515098,1.0595502379226553,1.689918451900141,3,lasso
45,70,T,0.09629381286421317,0.10952245034322838,0.16986009785169642,3,lasso
45,80,RH,0.8980841533943931,1.2617616227212818,2.1146553446088348,3,lasso
45,80,T,0.12441546637954796,0.128207174163183,0.1670656124380514,3,lasso
55,20,RH,2.0682033537013367,2.1527036032201083,2.5312291973800534,3,lasso
55,20,T,0.053226753473756126,0.06306191835535523,0.09459090712034879,3,lasso
55,30,RH,1.5225164186011557,1.5253993473706362,1.6034595959780127,3,lasso
55,30,T,0.36674176160372457,0.36761311241828193,0.40050993124125966,3,lasso
55,40,RH,0.41408782699034913,0.4823697090022319,0.7636920689033673,3,lasso
55,40,T,0.20854007316962728,0.21959556001037953,0.30562289650229957,3,lasso
55,50,RH,0.5595182108078566,0.6144724208856109,0.8810974967212886,3,lasso
55,50,T,0.1009416963572723,0.10958460581673729,0.15661789286507855,3,lasso
55,60,RH,0.7499973818290163,0.9064570148492785,1.4048656972423004,3,lasso
55,60,T,0.0655533859710431,0.06574131363987935,0.07236564554668945,3,lasso
55,70,RH,1.1045774360449723,1.1481976632063922,1.5400585032823244,3,lasso
55,70,T,0.046351958075950016,0.056178089918411285,0.08372999320330621,3,lasso
